ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
39,Bindig QSTP-LLC,18-Nov-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,18-Nov-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,53,4,49,4,0,0,,0,, Report Not Submitted ,"Baker Hughes’ research center undertake research and development of technologies applicable to local oil and gas industry and studies focused on increasing performance vs existing technology. In addition, its Doha iCenter Lounge, based in QSTP, focuses on improving availability and reliability for Qatar’s fleet.",,,Anzan Khatem Al-Naimi ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
40,Nuovo Pignone International S.R.L. QSTP-B  ,01-Jan-19,Enterprise,NA,EnergyTech,Italy,NA,,NA,Active,,,QSTP,Completed,01-Jan-19,Completed,15-Aug-25,,15-Aug-26,Completed,15-Aug-25,14-Aug-26,GE Level 1,GE Level 1,35,0,24,11,35,0,24,11," 32,437,450 ", -   ,"Baker Hughes’ research center undertake research and development of technologies applicable to local oil and gas industry and studies focused on increasing performance vs existing technology. In addition, its Doha iCenter Lounge, based in QSTP, focuses on improving availability and reliability for Qatar’s fleet.",,,Alexander Ferrari,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
41,Advantage Future Tech Company QSTP-LLC,28-May-19,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,28-May-19,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,6,0,5,1,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
42,Gernass Aeronautics QSTP-LLC,02-Dec-19,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,02-Dec-19,Completed,Sub-Lease,,Sub-Lease,Completed,11-Oct-24,30-Nov-26,Tech4,Tech4,10,0,10,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
43,"Qatar Foundation for Education, Science and Community Development (QRDI Council)",19-Jan-20,Enterprise,NA,GovTech,Qatar,NA,,NA,Active,,,QSTP,Completed,19-Jan-20,Completed,01-Jul-19,,30-Jun-26,Completed,01-Jul-25,30-Jun-26,Tech1 Units 108 & 109,Tech1 Units 108 & 109,40,,40,,,,,,,,,,,Omar Ali H A Al-Ansari,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
44,Gamyra Tech QSTP-LLC,03-Mar-20,Enterprise,NA,VR/AR & Immersive Tech,Australia,NA,,NA,Active,,,QSTP,Completed,03-Mar-20,Completed,04-Mar-20,,31-Dec-25,Completed,01-Apr-24,31-Mar-26,Tech2 Unit 206-01,Tech2 Unit 206-01,4,,4,,,,0,,, Report Not Submitted ,"Gamyra creates effective learning experiences through human behaviour analytics in virtual environments. Gamyra’s first product was a high-end driving simulator for driver training. It has trained 10s of thousands of drivers and provided deep insights into developing immersive content into complete learning experiences for the broader research, education and training market. Gamyra started in QSTP and grew internationally. It is now headquartered in Melbourne, Australia.",,,Rafaat Hassan Zriak  ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
45,"Qatar Foundation for Education, Science and Community Development (QGP)",01-Oct-20,Enterprise,NA,HealthTech,Qatar,NA,,NA,Active,,,QSTP,Completed,01-Oct-20,Completed,01-Oct-20,,31-Dec-25,Completed,01-Oct-23,31-Dec-25,"Tech1 Units 110, 11 & 112","Tech1 Units 110, 11 & 112",,,0,,,,,,,,,,,Emmanouil Dermitzakis,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
46,Aselsan Elektronik Sanayi ve Ticaret A.S. QSTP-B,14-Jan-21,Enterprise,NA,DefenseTech,Turkey,NA,,NA,Active,,,QSTP,Completed,14-Jan-21,Completed,15-Apr-21,,14-Apr-26,Completed,15-Jan-24,14-Apr-26,Tech1 Unit 107,Tech1 Unit 107,29,0,23,6,20,0,20,0," 17,923,331 ", -   ,"ASELSAN, the leading global defense and technology company (rank 48th in Defense News Top100), supplies its best-of-its-class solutions through the broad spectrum of product lines for both military and civilian use.
ASELSAN QSTP-B will primarily conduct maintenance, repair, overhaul and training operations of ASELSAN in Qatar.",,,Omer Cubuklu,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
47,BarEr Holding QSTP-LLC,02-May-21,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,02-May-21,Completed,Sub-Lease,,Sub-Lease,Completed,03-May-25,02-May-26,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
48,V Farms QSTP-LLC,29-Sep-21,Enterprise,NA,ClimateTech,Cyprus,NA,,NA,Active,,,QSTP,Completed,29-Sep-21,Completed,30-Sep-21,,30-Sep-26,Completed,30-Sep-25,30-Sep-26,IC Unit 327,IC Unit 327,5,0,5,0,5,0,5,0," 1,621,276 "," 73,178 ","Founded in 2021, VFarms is a controlled environment agriculture (CEA) company that produces and distributes high-tech indoor cultivation facilities equipped with autonomous water supply generators and solar panels to grow crops, vegetables, mushrooms, berries, and fodder. ",,,Andrey Martisorov,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
49,Snoonu Innovation QSTP-LLC,30-Nov-21,Enterprise,NA,E-Commerce,Qatar,NA,,NA,Active,,,QSTP,Completed,30-Nov-21,Completed,01-Dec-21,,30-Nov-25,Completed,01-Dec-24,30-Nov-25,IC Unit 314,IC Unit 314,10,,10,,,,0,,, Report Not Submitted ,"Snoonu is Qatar’s leading local delivery application. This multi-awarded company is a homegrown tech platform that enables users to order anything, including food, grocery, electronics, clothes, and many more.  Established in 2019, Snoonu is an online application and delivery service company. It has expanded to become an online ecommerce platform as well which utilizes a mobile application that has local stores, restaurants, groceries, shops, and their online ordering menu listed, from which we provide delivery using a fleet of personnel, enabling people to order food, laundry, gifts, flowers, health and beauty products and more at their convenient places.",,,Zaryab Shahzaib Zulfiqar Ali  ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
50,M23Q QSTP-LLC,30-Nov-21,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,30-Nov-21,Completed,Sub-Lease,,Sub-Lease,Completed,01-Dec-22,30-Nov-25,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Carlo Gelfo,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
51,Cypher Learning QSTP-LLC ,31-Jan-22,Enterprise,NA,EdTech,Qatar,NA,,NA,Active,,,QSTP,Completed,31-Jan-22,Completed,01-Feb-22,,31-Jan-26,Completed,01-Feb-25,31-Jan-26,IC Unit 350,IC Unit 350,4,0,3,1,4,0,,1," 4,803,424 "," 3,958,599 ","CYPHER LEARNING is a leading provider of learning platforms for schools, universities, organizations, and entrepreneurs around the world. CYPHER LEARNING has three products: NEO LMS for Schools and Universities, MATRIX LMS for Businesses, and INDIE LMS for Entrepreneurs. CYPHER LEARNING is currently the only company on the market that provides a learning platform for each e-learning segment: academic, corporate, and entrepreneurs",,,Jonathan James Durrant ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
52,Maidaan Technologies QSTP-LLC,20-Mar-22,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,20-Mar-22,Completed,Sub-Lease,,Sub-Lease,Completed,19-Jun-25,20-Mar-26,Tech4,Tech4,0,2,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
53,HBKU R&D Corp. QSTP-LLC,16-May-22,Enterprise,NA,Consulting & Advisory,Qatar,NA,,NA,Active,,,QSTP,Completed,16-May-22,Completed,,,,Completed,17-May-25,16-May-26,HBKU,HBKU,2,,2,,,,,,, Report Not Submitted ,"Hamad Bin Khalifa University is a homegrown graduate-focused university and research institute that acts as a catalyst for transformative change in Qatar and the region.

Through applying creativity to knowledge, students at HBKU have the opportunity to discover innovative, locally relevant solutions and have a global impact.",,,Nadir Yildirim,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
54,Ministry of Municipality,15-Jun-22,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,15-Jun-22,Completed,15-Jun-22,,14-Jun-27,Completed,15-Jun-25,15-Jun-26,"Tech2 Units 104, 105 & 106","Tech2 Units 104, 105 & 106",,,0,,,,,,,,,,,Hassen Ebrahim A Al-Asmakh,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
55,Global Accreditation Bureau QSTP-LLC (GAB),31-Jan-23,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,31-Jan-23,Completed,Sub-Lease,,Sub-Lease,Completed,01-Feb-24,31-Jan-26,"Tech1 Units 203, 207, 208 & 209","Tech1 Units 203, 207, 208 & 209",1,1,1,0,0,0,0,0," 77,693 "," 200,787 ",Global Accreditation Bureau (GAB) is the first accreditation body established in Qatar by GORD as an independent legal entity to provide accreditation services to third party conformity assessment bodies (also known as Certification Bodies). GAB complies with international standard ISO/IEC 17011 “Conformity assessment – Requirements for accreditation bodies accrediting conformity assessment bodies”.,,,Yousef Mohamed Y I Al-Horr,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
56,Global Carbon Council QSTP-LLC (GCC),31-Jan-23,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,31-Jan-23,Completed,Sub-Lease,,Sub-Lease,Completed,01-Feb-24,31-Jan-26,"Tech1 Units 203, 207, 208 & 209","Tech1 Units 203, 207, 208 & 209",4,1,1,3,0,0,0,0," 11,073,069 "," 5,314,534 ","The Global Carbon Council (GCC) is the first international carbon credit and sustainable development program, based in the Global South. The GCC Program contributes to a more sustainable and low-carbon future, by registering high-quality projects from around the world that have demonstrated their additionality in the reduction or removal of greenhouse gases (GHG) emissions, while ensuring that project construction and operations do not cause any net-harm to the environment and society.",,,Yousef Mohamed Y I Al-Horr,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
57,GE Aviation Systems North America QSTP-B (GE Aerospace),05-Apr-23,Enterprise,NA,AerospaceTech,United States,NA,,NA,Active,,,QSTP,Completed,05-Apr-23,Completed,14-Dec-07,,,Completed,01-Oct-25,31-Dec-25,GE Level 0,GE Level 0,56,0,49,7,5,0,0,0," 473,741,301 "," 506,195,595 ","GE has been supporting its Middle East customers from the GE Advanced Technology and Research Center (ATRC), located in QSTP.
GE Aviation offers maintenance training on its advanced jet engines that power aircraft operated by Qatar Airways, and other customers in the Middle East, North Africa, and Turkey (MENAT) region.",,,Ahmed Qasem,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
58,Dakkaken ,10-Feb-25,Enterprise,NA,E-Commerce,Qatar,NA,,NA,Active,,,MOCI,Completed,10-Feb-25,Completed,15-Oct-24,,30-Sep-27,Completed,01-Oct-24,30-Sep-25,Tech2 Units 107,Tech2 Units 107,27,3,11,16,3,0,2,1,, Report Not Submitted ,"Dakkaken Group is a pioneering digital venture hub based in Qatar, dedicated to transforming the digital landscape in the Middle East through three main subsidiaries.

The first is “Dakkaken,” an e-commerce platform established in 2020, aimed at simplifying shopping experiences. The platform has successfully served over 100,000 customers and maintains a catalog of more than 50,000 SKUs, with plans for expansion across Middle Eastern markets.",,,Nasser Hassan J Al-Jaber,,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
59,Gulf Green tech LLC,15-Apr-25,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QFC,Completed,15-Apr-25,Completed,01-Aug-25,,31-Jul-26,Completed,31-Jul-25,31-Dec-25,IC Unit 385,IC Unit 385,3,,3,,,,,,,,"Gulf Green Tech is at the forefront of tackling global food security challenges by engineering advanced agricultural ecosystems in the world’s most arid environments. We specialize in providing comprehensive, high-tech greenhouse solutions that transform barren deserts into productive farmland.",,,Yang Wang ,,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
60,imec,17-Dec-25,Enterprise,NA,DeepTech,Belgium,NA,,NA,Active,,,,,,,,,,,,,,,2,,1,1,,,,,,,"Imec is a leading research center in nanoelectronics and digital technologies, headquartered in Belgium, driving innovation in semiconductors and advanced chip design. It partners globally to develop solutions for healthcare, energy, mobility, and sustainability. In Doha, imec is setting up an R&D hub at QSTP to focus on chip design, silicon photonics, and talent development",,,,,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
61,ZD Energy,08-Oct-25,Enterprise ,Full Incubation,EnergyTech,China,Pending ,,NA,Active,,,MOCI,Completed,26-Nov-24,Completed,Pending,,Pending,Completed,24-Feb-25,19-Feb-26,Pending,NA,0,,,,,-,,-,, Report Not Submitted ,,,,,,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
62,Adeer Solution,11-Jun-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Pre-Seed,,,Active,,,MOCI,Completed,,Completed,Pending,,Pending,In Progress,,,Tech 2 Unit 210-35,NA,18,1,0,1,0,,,,,,"Adeer is an all-in-one app for individuals and small businesses it unifies sales, expenses, inventory, and invoicing in one platform. Adeer cuts manual work and scattered tools and won best app in Qatar from MCIT as it drives Qatar's digital transformation",,,Reema Kamis M A Al-Kuwari,ceo@adeer.qa,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
63,Agricope,17-Oct-24,Startup,Full Incubation,AgriTech,Qatar,Seed,,,Active,,,QFC,Completed,,Completed,14-Oct-25,,10-Nov-25,Completed,,,Tech 2 Unit 210-26,NA,1,0,1,0,0,,,,,,,,,Fares Fathy Mphamed Mahmoud,fares@agricope.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
64,AiSciA Informatics,17-Oct-24,Startup,Full Incubation,Enterprise SaaS,Qatar,Seed,"54,800",HBKU,Active,,,QFC,Completed,,Completed,20-Nov-25,,20-Feb-26,Completed,,,Tech 2 Unit 210-31,NA,8,0,0,1,3,,,,,0,"AISCIA Informatics combines AI, quantum simulations, and advanced data science to accelerate the discovery of chemicals and materials. Its flagship platform, EXTRUDAI© OPTIMIZER, is an Industry 4.0 intelligent digital twin for plastic extrusion that:Continuously monitors live production data, predicts optimal machine settings, and autonomously adjusts parameters.Conducts its own physical & virtual experiments, enabling rapid adaptation to new materials and specifications.Delivers superior process agility, cost efficiency, and sustainability performance compared to generic AI tools.​",,,Fadwa El Mellouhi,felmellouhi@aiscia.com,,Completed,Completed,QFC,Completed,In Progress,,,Completed,Incubation Agreement ,Completed,Completed,Completed,Completed,In Progress
65,AITENDEALS for Electronic Commerce,11-Jun-25,Startup,Full Incubation,e-Commerce,Qatar,Pre-Seed,,,Active,,,MOCI,Completed,,Completed,19-Nov-25,,19-Feb-26,Completed,,,Tech 2 Unit 210-51,NA,8,3,3,0,1,,,,,,"Tendeal is a unified B2C/B2B e-commerce platform that expands your sales reach by connecting buyers and sellers in a fully integrated marketplace. Unlike generic storefronts, Tendeal bundles procurement-grade tools -RFQs, tenders, brand search, instant offers, daily deals—plus rich company profiles and in-platform advertising to boost discoverability and conversion.​",,,Yousuf Nasser Y A Alabduljabbar,ceo@tendeal.qa,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed ,Completed,Completed,Completed,Completed,Completed
